sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-015320,4,14.8006,1.5708,0.000640714,1
CLI-20260723-015320,5,17.2354,-1.5708,0.00108767,1
CLI-20260723-015320,6,11.4285,0,0.0115413,1
CLI-20260723-015320,7,1.3156,-2.35598,1.15333e-05,0
CLI-20260723-015320,8,0.745098,-1.18903,9.42389e-06,0
CLI-20260723-015320,10,0.141471,0.366975,1.20012e-05,0
CLI-20260723-015320,11,0.069603,-0.087538,1.05418e-05,0
CLI-20260723-015336,2,11.3065,-1.5708,0.00363856,1
CLI-20260723-015336,3,5.96172,1.5708,3.60909e-05,0
CLI-20260723-015336,4,7.75176,1.5708,1.4068e-05,0
CLI-20260723-015336,5,9.93635,-1.5708,6.51353e-05,0
CLI-20260723-015336,6,16.0566,0,0.00436473,1
CLI-20260723-015336,7,0.750196,2.75349,1.3757e-05,0
CLI-20260723-015336,9,1.40021,-0.828194,8.58576e-06,0
CLI-20260723-015336,11,0.87339,0.912989,2.25237e-05,0
CLI-20260723-015351,2,18.8219,-1.5708,0.0104671,1
CLI-20260723-015351,3,19.2429,0,0.0012708,1
CLI-20260723-015351,4,11.2192,0,0.0130769,1
CLI-20260723-015351,5,19.0427,-1.5708,0.0816464,1
CLI-20260723-015351,6,10.6464,3.14159,0.0190945,1
CLI-20260723-015351,7,0.17306,0.664075,0.0079957,1
CLI-20260723-015351,9,1.02517,-2.93444,0.0115402,1
CLI-20260723-015351,10,0.609656,1.27503,0.00531404,1
CLI-20260723-015406,2,14.0745,3.14159,0.00397743,1
CLI-20260723-015406,3,8.39586,0,2.00354e-05,0
CLI-20260723-015406,4,14.2345,1.5708,0.000414889,1
CLI-20260723-015406,5,8.11985,1.5708,3.22963e-05,0
CLI-20260723-015406,6,15.5036,1.5708,0.000461128,1
CLI-20260723-015406,7,1.82569,-2.11957,0.0122303,1
CLI-20260723-015406,8,1.58835,-0.150606,0.00185044,1
CLI-20260723-015406,9,1.62461,-1.44718,0.00623987,1
CLI-20260723-015406,10,0.622196,0.950669,0.0036873,1
CLI-20260723-015406,11,1.96739,2.55393,0.012084,1
CLI-20260723-015428,2,14.1593,3.14159,0.00398355,1
CLI-20260723-015428,3,10.7415,1.5708,6.88515e-05,0
CLI-20260723-015428,4,8.49723,0,1.30936e-05,0
CLI-20260723-015428,5,7.41519,-1.5708,1.60996e-05,0
CLI-20260723-015428,6,16.8492,-1.5708,0.000910744,1
CLI-20260723-015428,7,0.581786,-1.66464,2.605e-05,0
CLI-20260723-015428,8,1.82155,-1.64969,3.8866e-05,0
CLI-20260723-015428,9,1.6256,3.00131,4.25134e-06,0
CLI-20260723-015428,10,1.11804,-0.827809,1.27941e-05,0
CLI-20260723-015428,11,1.87774,3.06924,3.36513e-06,0
CLI-20260723-015444,2,10.1644,1.5708,7.53146e-05,0
CLI-20260723-015444,3,7.09602,3.14159,7.17548e-05,0
CLI-20260723-015444,4,11.2393,1.5708,0.000198041,1
CLI-20260723-015444,5,11.8128,1.5708,0.000216296,1
CLI-20260723-015444,6,14.1988,1.5708,0.00317471,1
CLI-20260723-015444,7,1.19676,-2.83255,0.0492602,1
CLI-20260723-015444,8,1.86245,1.68321,0.113152,1
CLI-20260723-015444,9,0.10021,-2.14595,0.0894833,1
CLI-20260723-015444,10,1.34833,-2.12828,0.0817131,1
CLI-20260723-015458,2,8.65064,3.14159,0.00348256,1
CLI-20260723-015458,3,8.23288,1.5708,6.29009e-05,0
CLI-20260723-015458,4,18.6918,-1.5708,0.00171999,1
CLI-20260723-015458,5,7.58063,0,0.000909204,1
CLI-20260723-015458,6,14.0907,1.5708,0.00017978,1
CLI-20260723-015458,7,0.858178,-2.16284,0.000661633,1
CLI-20260723-015458,8,0.383112,1.664,1.07234e-05,0
CLI-20260723-015458,9,1.48891,2.87194,5.55058e-06,0
CLI-20260723-015458,10,0.656281,-0.428056,1.18855e-05,0
