timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,call_depthobstructed?call_depth,response_time(ns)
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,7,0,0,1.44565,-2.13423,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,7, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,8,0,0,1.62701,1.56318,0,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,8, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,9,0.0125635,1.64995,1.0948,0.030286,1.65,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,9, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,10,1.11206,1.68326,0.079578,2.83538,1.1,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,10, 
20260723-001159,server,CLI-20260723-001159,handle_request()RECEIVED_MOVE,move, ,1,11,1.01671,1.71341,1.61683,-2.06418,0.1,107267934375078,140731792467464,140731792467472,140731792467600,140731792467600,139225637445760,3,140731792468568,n/a,11, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.2673,1.15044,0,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,2, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,3,0.122426,0.273883,0.482934,-1.89942,0.3,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,3, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,4,0.0417404,0.0372613,0.411708,-2.91627,0.25,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,4, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,5,0.0417404,0.0372613,0.194681,0.864028,0,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,5, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,6,0.171616,0.189354,1.69399,2.92787,0.2,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,6, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,7,0.0250292,0.221169,1.42488,-2.55383,0.15,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,7, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,8,0.0250292,0.221169,1.14887,-0.74475,0,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,8, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,9,0.245606,0.0178331,0.862256,-1.03014,0.3,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,9, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,10,0.245606,0.0178331,0.123107,1.27182,0,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,10, 
20260723-001214,server,CLI-20260723-001214,handle_request()RECEIVED_MOVE,move, ,1,11,0.289787,0.161179,1.29742,0.048727,0.15,104820759129254,140734383883112,140734383883120,140734383883248,140734383883248,126778029498496,3,140734383884216,n/a,11, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,0.59251,0.232634,0,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,2, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,3,0.583838,0.138325,1.35715,-1.46409,0.6,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,3, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,4,0.594488,0.0388936,1.78267,1.19408,0.1,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,4, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,5,1.25666,1.71267,1.60072,-1.08346,1.8,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,5, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,6,2.02932,0.25476,0.794869,-3.02769,1.65,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,6, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,7,1.2345,0.163839,0.758872,-0.303374,0.8,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,7, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,8,1.71167,0.0144682,1.12524,2.16116,0.5,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,8, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,9,1.07151,0.969818,0.110327,1.32028,1.15,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,9, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,10,1.10869,1.11514,1.95904,2.9568,0.15,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,10, 
20260723-001235,server,CLI-20260723-001228,handle_request()RECEIVED_MOVE,move, ,1,11,0.0274187,1.31725,0.915771,-0.14735,1.1,99322181184678,140729815798536,140729815798544,140729815798672,140729815798672,136014492983424,3,140729815799640,n/a,11, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,1.31911,0.842494,0,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,2, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,3,0.898565,1.00751,1.9439,2.94316,1.35,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,3, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,4,0.0162263,1.18493,0.870424,1.61196,0.9,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,4, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,5,0.00182236,1.53464,1.19886,0.992827,0.35,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,5, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,6,0.657411,2.53973,1.42934,1.96843,1.2,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,6, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,7,0.0959209,3.8766,0.97556,2.90997,1.45,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,7, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,8,0.0472561,3.88808,1.58428,-0.79958,0.05,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,8, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,9,1.16247,2.74078,1.24558,2.41481,1.6,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,9, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,10,0.228324,3.57136,1.79014,0.283499,1.25,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,10, 
20260723-001254,server,CLI-20260723-001251,handle_request()RECEIVED_MOVE,move, ,1,11,1.95647,4.07485,1.06838,2.31414,1.8,99454092041382,140728167911384,140728167911392,140728167911520,140728167911520,125523636904064,3,140728167912488,n/a,11, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,11.0602,1.11024,0,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,2, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,3,4.9334,9.94342,0.446713,-1.89226,11.1,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,3, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,4,4.79122,9.51647,5.13674,-2.16469,0.45,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,4, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,5,1.90933,5.2483,1.43655,-2.53391,5.15,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,5, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,6,0.718926,4.4204,5.70909,0.326981,1.45,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,6, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,7,6.16427,6.26721,3.45708,-1.32331,5.75,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,7, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,9,7.02164,2.87385,4.20571,0.852531,3.5,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,9, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,10,9.81848,6.07388,5.72286,3.07577,4.25,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,10, 
20260723-001551,server,CLI-20260723-001551,handle_request()RECEIVED_MOVE,move, ,1,11,4.08093,6.45211,0.529899,-1.15954,5.75,96500358036646,140729442634968,140729442634976,140729442635104,140729442635104,127680136208512,3,140729442636072,n/a,11, 
20260723-001616,server,CLI-20260723-001616,handle_request()RECEIVED_MOVE,move, ,1,2,0,0,4.75443,0.97665,0,107458105924774,140723425549064,140723425549072,140723425549200,140723425549200,137103774703744,3,140723425550168,n/a,2, 
20260723-001616,server,CLI-20260723-001616,handle_request()RECEIVED_MOVE,move, ,1,3,2.68705,3.97741,3.73708,0.385587,4.8,107458105924774,140723425549064,140723425549072,140723425549200,140723425549200,137103774703744,3,140723425550168,n/a,3, 
