timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,6,0,0,0.232016,0.104099,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,17,54ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,6,0.248647,0.0259778,0.232016,0.104099,0.25,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,success,18,4753220ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,7,0.248647,0.0259778,0.686148,2.47609,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,20,63ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,7,0.0126641,0.211213,0.686148,2.47609,0.3,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,21,9030171ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,8,0.0126641,0.211213,1.28834,-2.29501,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,23,52ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,8,0.0126641,0.211213,1.28834,-2.29501,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,obstructed,24,4871172ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,9,0.0126641,0.211213,1.72321,1.5544,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,26,49ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,9,0.04136,1.96098,1.72321,1.5544,1.75,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,success,27,3011060ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,10,0.04136,1.96098,0.346793,0.423689,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,29,50ns
20260723-001054,client,CLI-20260723-001054,move_robot()AFTER_SERVICE_CALL,move, ,1,10,0.360412,2.10487,0.346793,0.423689,0.35,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,success,30,9068592ns
20260723-001054,client,CLI-20260723-001054,move_robot()BEFORE_SERVICE_CALL,move, ,1,11,0.360412,2.10487,0.751652,2.43882,0,99345448404755,140725360716712,140725360716720,140725360716864,140725360716864,126711902101632,3,140725360717896,n/a,32,62ns
